Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
Other Services (except Public Administration)       ,Computer & Mathematical Occupations,,Bachelors Degree or more,13,282,26965,282
Other Services (except Public Administration)       ,Architecture & Engineering Occupations,,Less than High School,13,2,315,2
Other Services (except Public Administration)       ,Architecture & Engineering Occupations,,High School,13,22,2278,22
Other Services (except Public Administration)       ,Architecture & Engineering Occupations,,Some College,13,42,3711,42
Other Services (except Public Administration)       ,Architecture & Engineering Occupations,,Bachelors Degree or more,13,57,6186,57
Other Services (except Public Administration)       ,"Life, Physical, & Social Science Occupations",,Less than High School,13,4,484,4
Other Services (except Public Administration)       ,"Life, Physical, & Social Science Occupations",,High School,13,6,558,6
Other Services (except Public Administration)       ,"Life, Physical, & Social Science Occupations",,Some College,13,17,1683,17
Other Services (except Public Administration)       ,"Life, Physical, & Social Science Occupations",,Bachelors Degree or more,13,101,8909,101
Other Services (except Public Administration)       ,Community & Social Services Occupations,,Less than High School,13,175,15864,175
Other Services (except Public Administration)       ,Community & Social Services Occupations,,High School,13,597,55150,597
Other Services (except Public Administration)       ,Community & Social Services Occupations,,Some College,13,1352,130250,1352
Other Services (except Public Administration)       ,Community & Social Services Occupations,,Bachelors Degree or more,13,5082,431211,5082
Other Services (except Public Administration)       ,Legal Occupations,,Less than High School,13,2,372,2
Other Services (except Public Administration)       ,Legal Occupations,,High School,13,2,320,2
Other Services (except Public Administration)       ,Legal Occupations,,Some College,13,17,2267,17
Other Services (except Public Administration)       ,Legal Occupations,,Bachelors Degree or more,13,132,11633,132
Other Services (except Public Administration)       ,"Education, Training, & Library Occupations",,Less than High School,13,12,944,12
Other Services (except Public Administration)       ,"Education, Training, & Library Occupations",,High School,13,56,6011,56
Other Services (except Public Administration)       ,"Education, Training, & Library Occupations",,Some College,13,152,15568,152
Other Services (except Public Administration)       ,"Education, Training, & Library Occupations",,Bachelors Degree or more,13,307,28729,307
Other Services (except Public Administration)       ,"Arts, Design, Entertainment, Sports, & Media Occupations",,Less than High School,13,30,2948,30
Other Services (except Public Administration)       ,"Arts, Design, Entertainment, Sports, & Media Occupations",,High School,13,138,13119,138
Other Services (except Public Administration)       ,"Arts, Design, Entertainment, Sports, & Media Occupations",,Some College,13,366,35446,366
Other Services (except Public Administration)       ,"Arts, Design, Entertainment, Sports, & Media Occupations",,Bachelors Degree or more,13,872,77292,872
Other Services (except Public Administration)       ,Healthcare Practitioners & Technical Occupations,,Less than High School,13,4,243,4
Other Services (except Public Administration)       ,Healthcare Practitioners & Technical Occupations,,High School,13,20,1954,20
Other Services (except Public Administration)       ,Healthcare Practitioners & Technical Occupations,,Some College,13,81,8691,81
Other Services (except Public Administration)       ,Healthcare Practitioners & Technical Occupations,,Bachelors Degree or more,13,137,13536,137
Other Services (except Public Administration)       ,Healthcare Support Occupations,,Less than High School,13,50,5126,50
Other Services (except Public Administration)       ,Healthcare Support Occupations,,High School,13,243,26831,243
Other Services (except Public Administration)       ,Healthcare Support Occupations,,Some College,13,689,72705,689
Other Services (except Public Administration)       ,Healthcare Support Occupations,,Bachelors Degree or more,13,338,32246,338
Other Services (except Public Administration)       ,Protective Service Occupations,,Less than High School,13,17,1410,17
Other Services (except Public Administration)       ,Protective Service Occupations,,High School,13,65,7028,65
Other Services (except Public Administration)       ,Protective Service Occupations,,Some College,13,93,8514,93
Other Services (except Public Administration)       ,Protective Service Occupations,,Bachelors Degree or more,13,38,3088,38
Other Services (except Public Administration)       ,Food Preparation & Serving Related Occupations,,Less than High School,13,58,6695,58
Other Services (except Public Administration)       ,Food Preparation & Serving Related Occupations,,High School,13,166,14241,166
Other Services (except Public Administration)       ,Food Preparation & Serving Related Occupations,,Some College,13,119,13398,119
Other Services (except Public Administration)       ,Food Preparation & Serving Related Occupations,,Bachelors Degree or more,13,53,4704,53
Other Services (except Public Administration)       ,Building & Grounds Cleaning & Maintenance Occupations,,Less than High School,13,1870,222173,1870
Other Services (except Public Administration)       ,Building & Grounds Cleaning & Maintenance Occupations,,High School,13,2130,230293,2130
Other Services (except Public Administration)       ,Building & Grounds Cleaning & Maintenance Occupations,,Some College,13,1194,125878,1194
Other Services (except Public Administration)       ,Building & Grounds Cleaning & Maintenance Occupations,,Bachelors Degree or more,13,421,44577,421
Other Services (except Public Administration)       ,Personal Care & Service Occupations,,Less than High School,13,1808,200564,1808
Other Services (except Public Administration)       ,Personal Care & Service Occupations,,High School,13,6607,749098,6607
Other Services (except Public Administration)       ,Personal Care & Service Occupations,,Some College,13,6895,759538,6895
Other Services (except Public Administration)       ,Personal Care & Service Occupations,,Bachelors Degree or more,13,1939,212398,1939
Other Services (except Public Administration)       ,Sales & Related Occupations,,Less than High School,13,276,30111,276
Other Services (except Public Administration)       ,Sales & Related Occupations,,High School,13,990,107611,990
Other Services (except Public Administration)       ,Sales & Related Occupations,,Some College,13,1170,122933,1170
Other Services (except Public Administration)       ,Sales & Related Occupations,,Bachelors Degree or more,13,488,48529,488
Other Services (except Public Administration)       ,Office & Administrative Support Occupations,,Less than High School,13,288,33480,288
Other Services (except Public Administration)       ,Office & Administrative Support Occupations,,High School,13,1961,192449,1961
Other Services (except Public Administration)       ,Office & Administrative Support Occupations,,Some College,13,2953,288600,2953
Other Services (except Public Administration)       ,Office & Administrative Support Occupations,,Bachelors Degree or more,13,1722,163626,1722
Other Services (except Public Administration)       ,"Farming, Fishing, & Forestry Occupations",,Less than High School,13,1,47,1
Other Services (except Public Administration)       ,"Farming, Fishing, & Forestry Occupations",,High School,13,6,618,6
Other Services (except Public Administration)       ,"Farming, Fishing, & Forestry Occupations",,Some College,13,4,210,4
Other Services (except Public Administration)       ,"Farming, Fishing, & Forestry Occupations",,Bachelors Degree or more,13,7,881,7
Other Services (except Public Administration)       ,Construction & Extraction Occupations,,Less than High School,13,34,4964,34
Other Services (except Public Administration)       ,Construction & Extraction Occupations,,High School,13,103,13467,103
Other Services (except Public Administration)       ,Construction & Extraction Occupations,,Some College,13,60,5399,60
Other Services (except Public Administration)       ,Construction & Extraction Occupations,,Bachelors Degree or more,13,11,1266,11
Other Services (except Public Administration)       ,"Installation, Maintenance, & Repair Occupations",,Less than High School,13,1702,197760,1702
Other Services (except Public Administration)       ,"Installation, Maintenance, & Repair Occupations",,High School,13,4330,466451,4330
Other Services (except Public Administration)       ,"Installation, Maintenance, & Repair Occupations",,Some College,13,3553,370061,3553
Other Services (except Public Administration)       ,"Installation, Maintenance, & Repair Occupations",,Bachelors Degree or more,13,560,54997,560
Other Services (except Public Administration)       ,Production Occupations,,Less than High School,13,906,108653,906
Other Services (except Public Administration)       ,Production Occupations,,High School,13,1547,166563,1547
Other Services (except Public Administration)       ,Production Occupations,,Some College,13,998,102338,998
Other Services (except Public Administration)       ,Production Occupations,,Bachelors Degree or more,13,275,30876,275
Other Services (except Public Administration)       ,Transportation & Material Moving Occupations,,Less than High School,13,677,85573,677
Other Services (except Public Administration)       ,Transportation & Material Moving Occupations,,High School,13,1116,135064,1116
Other Services (except Public Administration)       ,Transportation & Material Moving Occupations,,Some College,13,780,91346,780
