Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
Retail Trade,,,Some College,9,58685,6481828,58685
Retail Trade,,,Bachelors Degree or more,9,30121,3163079,30121
"Transportation, Warehousing & Storage",,,Less than High School,9,5348,586880,5348
"Transportation, Warehousing & Storage",,,High School,9,20561,2171346,20561
"Transportation, Warehousing & Storage",,,Some College,9,20126,2115642,20126
"Transportation, Warehousing & Storage",,,Bachelors Degree or more,9,9143,941594,9143
Information,,,Less than High School,9,666,69444,666
Information,,,High School,9,4696,492132,4696
Information,,,Some College,9,9868,1039531,9868
Information,,,Bachelors Degree or more,9,14374,1451171,14374
"Finance, Insurance",,,Less than High School,9,784,79505,784
"Finance, Insurance",,,High School,9,10484,1059210,10484
"Finance, Insurance",,,Some College,9,21691,2260116,21691
"Finance, Insurance",,,Bachelors Degree or more,9,33698,3438262,33698
"Real Estate, Rental & Leasing",,,Less than High School,9,1578,190699,1578
"Real Estate, Rental & Leasing",,,High School,9,5563,612838,5563
"Real Estate, Rental & Leasing",,,Some College,9,8974,952155,8974
"Real Estate, Rental & Leasing",,,Bachelors Degree or more,9,9218,926982,9218
"Professional, Scientific, Management",,,Less than High School,9,1210,130697,1210
"Professional, Scientific, Management",,,High School,9,8227,855255,8227
"Professional, Scientific, Management",,,Some College,9,22815,2325451,22815
"Professional, Scientific, Management",,,Bachelors Degree or more,9,65228,6456008,65228
Administrative & Waste Management Services,,,Less than High School,9,8802,1139491,8802
Administrative & Waste Management Services,,,High School,9,16492,1941252,16492
Administrative & Waste Management Services,,,Some College,9,17793,1991865,17793
Administrative & Waste Management Services,,,Bachelors Degree or more,9,10939,1126810,10939
Educational Services,,,Less than High School,9,3021,313170,3021
Educational Services,,,High School,9,16106,1494665,16106
Educational Services,,,Some College,9,30780,2843365,30780
Educational Services,,,Bachelors Degree or more,9,94002,8762353,94002
