MajorOcc,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
Protective Service Occupations,,,,Less than High School,17,972,99303,972
Protective Service Occupations,,,,High School,17,7279,762078,7279
Protective Service Occupations,,,,Some College,17,14847,1549044,14847
Protective Service Occupations,,,,Bachelors Degree or more,17,7565,776812,7565
Food Preparation & Serving Related Occupations,,,,Less than High School,17,11875,1530809,11875
Food Preparation & Serving Related Occupations,,,,High School,17,23498,2791041,23498
Food Preparation & Serving Related Occupations,,,,Some College,17,25465,3028177,25465
Food Preparation & Serving Related Occupations,,,,Bachelors Degree or more,17,5963,692170,5963
Building & Grounds Cleaning & Maintenance Occupations,,,,Less than High School,17,14137,1749803,14137
Building & Grounds Cleaning & Maintenance Occupations,,,,High School,17,20806,2304865,20806
Building & Grounds Cleaning & Maintenance Occupations,,,,Some College,17,12843,1367155,12843
Building & Grounds Cleaning & Maintenance Occupations,,,,Bachelors Degree or more,17,3347,350504,3347
Personal Care & Service Occupations,,,,Less than High School,17,5097,556788,5097
Personal Care & Service Occupations,,,,High School,17,16092,1737908,16092
Personal Care & Service Occupations,,,,Some College,17,20104,2157367,20104
Personal Care & Service Occupations,,,,Bachelors Degree or more,17,8013,843953,8013
Sales & Related Occupations,,,,Less than High School,17,8967,1021458,8967
Sales & Related Occupations,,,,High School,17,37568,4091688,37568
Sales & Related Occupations,,,,Some College,17,54302,5965413,54302
Sales & Related Occupations,,,,Bachelors Degree or more,17,41274,4272247,41274
Office & Administrative Support Occupations,,,,Less than High School,17,7746,838419,7746
Office & Administrative Support Occupations,,,,High School,17,56453,5701651,56453
Office & Administrative Support Occupations,,,,Some College,17,86330,8769175,86330
Office & Administrative Support Occupations,,,,Bachelors Degree or more,17,39851,3970818,39851
"Farming, Fishing, & Forestry Occupations",,,,Less than High School,17,4173,473779,4173
"Farming, Fishing, & Forestry Occupations",,,,High School,17,3125,298372,3125
"Farming, Fishing, & Forestry Occupations",,,,Some College,17,1723,162025,1723
"Farming, Fishing, & Forestry Occupations",,,,Bachelors Degree or more,17,628,55539,628
Construction & Extraction Occupations,,,,Less than High School,17,13439,1720791,13439
Construction & Extraction Occupations,,,,High School,17,28031,3081322,28031
Construction & Extraction Occupations,,,,Some College,17,18891,1986226,18891
Construction & Extraction Occupations,,,,Bachelors Degree or more,17,4270,437351,4270
"Installation, Maintenance, & Repair Occupations",,,,Less than High School,17,4857,542587,4857
