FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
36,0,1,7,0.177771115,1614521,9082021,86430,NY
36,1,0,7,0.21440529,142420,664256,7211,NY
36,1,1,7,0.182528095,78513,430142,4574,NY
37,0,0,7,0.094638476,96585,1020568,10342,NC
37,0,1,7,0.087325484,381001,4362999,40757,NC
37,1,0,7,0.026720023,11665,436564,4537,NC
37,1,1,7,0.059617374,16195,271649,2742,NC
38,0,0,7,0.033776918,2094,61995,676,ND
38,0,1,7,0.021662146,7787,359475,3303,ND
38,1,0,7,0.047899986,682,14238,177,ND
38,1,1,7,0.042183155,895,21217,187,ND
39,0,0,7,0.033575291,37758,1124577,11509,OH
39,0,1,7,0.031318773,160255,5116899,50274,OH
39,1,0,7,0.021990519,10925,496805,5216,OH
39,1,1,7,0.032860986,11421,347555,3547,OH
40,0,0,7,0.104116982,41169,395411,3933,OK
40,0,1,7,0.094211028,151251,1605449,14235,OK
40,1,0,7,0.043609963,8019,183880,1924,OK
40,1,1,7,0.058256877,7626,130903,1305,OK
41,0,0,7,0.09319012,38470,412812,4201,OR
41,0,1,7,0.12422994,213574,1719183,16356,OR
41,1,0,7,0.07169953,12796,178467,1701,OR
41,1,1,7,0.112477167,15086,134125,1185,OR
42,0,0,7,0.071365897,91501,1282139,12983,PA
42,0,1,7,0.053219495,304717,5725665,55433,PA
42,1,0,7,0.09597613,48345,503719,5011,PA
42,1,1,7,0.072728891,25325,348211,3476,PA
44,0,0,7,0.142310746,13804,96999,1019,RI
44,0,1,7,0.12904463,65613,508452,4998,RI
44,1,0,7,0.13936268,5458,39164,377,RI
44,1,1,7,0.129987317,3587,27595,306,RI
45,0,0,7,0.052413925,26933,513852,5086,SC
45,0,1,7,0.057302272,117459,2049814,19009,SC
45,1,0,7,0.013980842,3138,224450,2387,SC
45,1,1,7,0.041668765,5793,139025,1383,SC
46,0,0,7,0.026146231,1611,61615,648,SD
46,0,1,7,0.03189204,12381,388216,3711,SD
46,1,0,7,0.007359195,199,27041,265,SD
46,1,1,7,0.035588824,1084,30459,276,SD
47,0,0,7,0.054681361,36116,660481,6781,TN
47,0,1,7,0.047906972,133411,2784793,26422,TN
47,1,0,7,0.015453841,5502,356028,3684,TN
47,1,1,7,0.034168576,6874,201179,2039,TN
48,0,0,7,0.406804049,1181780,2905035,27564,TX
48,0,1,7,0.364837284,4248837,11645841,105835,TX
48,1,0,7,0.321519919,285601,888284,9218,TX
48,1,1,7,0.338077654,247104,730909,7055,TX
49,0,0,7,0.126936653,38876,306263,3094,UT
49,0,1,7,0.132139915,165355,1251363,11733,UT
49,1,0,7,0.105511627,8113,76892,772,UT
49,1,1,7,0.094904088,6684,70429,723,UT
50,0,0,7,0.008826972,543,61516,640,VT
50,0,1,7,0.015276336,4443,290842,2929,VT
50,1,0,7,0.019695649,497,25234,243,VT
50,1,1,7,0.010001064,188,18798,177,VT
51,0,0,7,0.081884406,69366,847121,8594,VA
51,0,1,7,0.093119578,363297,3901403,37583,VA
51,1,0,7,0.029526152,7888,267153,2769,VA
51,1,1,7,0.053451428,10905,204017,2083,VA
53,0,0,7,0.105423579,79033,749671,7419,WA
53,0,1,7,0.113132564,358207,3166259,29750,WA
53,1,0,7,0.072987362,19261,263895,2672,WA
53,1,1,7,0.092753323,19674,212111,2114,WA
54,0,0,7,0.014030509,2946,209971,2070,WV
