FIPS,Dis1,LaborForce,raceX,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
9,,1,Native American only,11,42,4644,1818149,17590,0.002554246,CT
9,,1,Asian only,11,770,77069,1818149,17590,0.042388715,CT
9,,1,Some other race(s),11,918,131371,1818149,17590,0.072255354,CT
9,0,,White only,13,16375,1593302,2061150,19978,0.773016035,CT
9,0,,Black/African American only,13,1489,213473,2061150,19978,0.103569852,CT
9,0,,Native American only,13,48,4861,2061150,19978,0.002358392,CT
9,0,,Asian only,13,987,98188,2061150,19978,0.047637484,CT
9,0,,Some other race(s),13,1079,151326,2061150,19978,0.073418237,CT
9,0,0,White only,15,2668,255099,336139,3359,0.758909261,CT
9,0,0,Black/African American only,15,226,30657,336139,3359,0.091203342,CT
9,0,0,Native American only,15,11,900,336139,3359,0.002677464,CT
9,0,0,Asian only,15,239,23226,336139,3359,0.069096416,CT
9,0,0,Some other race(s),15,215,26257,336139,3359,0.078113519,CT
9,0,1,White only,15,13707,1338203,1725011,16619,0.775764908,CT
9,0,1,Black/African American only,15,1263,182816,1725011,16619,0.105979614,CT
9,0,1,Native American only,15,37,3961,1725011,16619,0.002296217,CT
9,0,1,Asian only,15,748,74962,1725011,16619,0.043455955,CT
9,0,1,Some other race(s),15,864,125069,1725011,16619,0.072503306,CT
9,1,,White only,13,1531,140301,183634,1922,0.764025181,CT
9,1,,Black/African American only,13,216,24288,183634,1922,0.132263089,CT
9,1,,Native American only,13,10,959,183634,1922,0.005222344,CT
9,1,,Asian only,13,42,4230,183634,1922,0.02303495,CT
9,1,,Some other race(s),13,123,13856,183634,1922,0.075454437,CT
9,1,0,White only,15,763,69651,90496,951,0.769658327,CT
9,1,0,Black/African American only,15,94,10892,90496,951,0.120358911,CT
9,1,0,Native American only,15,5,276,90496,951,0.003049859,CT
9,1,0,Asian only,15,20,2123,90496,951,0.0234596,CT
9,1,0,Some other race(s),15,69,7554,90496,951,0.083473303,CT
9,1,1,White only,15,768,70650,93138,971,0.758551826,CT
9,1,1,Black/African American only,15,122,13396,93138,971,0.143829586,CT
9,1,1,Native American only,15,5,683,93138,971,0.007333205,CT
9,1,1,Asian only,15,22,2107,93138,971,0.022622345,CT
9,1,1,Some other race(s),15,54,6302,93138,971,0.067663038,CT
10,,,White only,9,3906,392071,568716,5162,0.689396817,DE
10,,,Black/African American only,9,844,123272,568716,5162,0.216754936,DE
10,,,Native American only,9,28,2912,568716,5162,0.005120306,DE
10,,,Asian only,9,203,24152,568716,5162,0.042467594,DE
10,,,Some other race(s),9,181,26309,568716,5162,0.046260348,DE
10,,0,White only,11,922,91215,132373,1225,0.689075567,DE
10,,0,Black/African American only,11,196,27804,132373,1225,0.210042834,DE
10,,0,Native American only,11,9,839,132373,1225,0.006338151,DE
10,,0,Asian only,11,50,5330,132373,1225,0.040265009,DE
10,,0,Some other race(s),11,48,7185,132373,1225,0.054278441,DE
10,,1,White only,11,2984,300856,436343,3937,0.689494274,DE
10,,1,Black/African American only,11,648,95468,436343,3937,0.21879118,DE
10,,1,Native American only,11,19,2073,436343,3937,0.00475085,DE
10,,1,Asian only,11,153,18822,436343,3937,0.04313579,DE
10,,1,Some other race(s),11,133,19124,436343,3937,0.043827906,DE
10,0,,White only,13,3457,348075,506902,4569,0.686671191,DE
10,0,,Black/African American only,13,745,111456,506902,4569,0.21987682,DE
10,0,,Native American only,13,20,1922,506902,4569,0.00379166,DE
10,0,,Asian only,13,198,23449,506902,4569,0.046259435,DE
10,0,,Some other race(s),13,149,22000,506902,4569,0.043400894,DE
10,0,0,White only,15,669,66003,96822,888,0.681694243,DE
10,0,0,Black/African American only,15,143,21484,96822,888,0.221891719,DE
10,0,0,Native American only,15,3,39,96822,888,0.000402801,DE
10,0,0,Asian only,15,48,5005,96822,888,0.051692797,DE
10,0,0,Some other race(s),15,25,4291,96822,888,0.04431844,DE
10,0,1,White only,15,2788,282072,410080,3681,0.687846274,DE
