FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
21,1,1,7,0.0270588152,3842,141987,1395,KY
22,0,0,7,0.0502696936,27046,538018,4906,LA
22,0,1,7,0.0524144999,101474,1935991,17607,LA
22,1,0,7,0.0185118351,4206,227206,2300,LA
22,1,1,7,0.0364611715,5152,141301,1425,LA
23,0,0,7,0.018913266,2125,112355,1225,ME
23,0,1,7,0.0113731624,6770,595261,5383,ME
23,1,0,7,0.0143418155,1081,75374,722,ME
23,1,1,7,0.0123400564,569,46110,423,ME
24,0,0,7,0.0795353044,42474,534027,5345,MD
24,0,1,7,0.0964902371,279299,2894583,27611,MD
24,1,0,7,0.0390953558,6498,166209,1649,MD
24,1,1,7,0.0702593708,10941,155723,1580,MD
25,0,0,7,0.1205386398,75415,625650,6524,MA
25,0,1,7,0.0924379522,301205,3258456,32209,MA
25,1,0,7,0.1590456905,35972,226174,2271,MA
25,1,1,7,0.1197545704,20025,167217,1724,MA
26,0,0,7,0.0441745037,45497,1029938,10387,MI
26,0,1,7,0.0443906397,190839,4299082,41012,MI
26,1,0,7,0.0338591933,16419,484920,5014,MI
26,1,1,7,0.0396399847,11592,292432,2996,MI
27,0,0,7,0.0519813121,21596,415457,4227,MN
27,0,1,7,0.0452604853,120007,2651474,25349,MN
27,1,0,7,0.0310631401,4504,144995,1486,MN
27,1,1,7,0.0380102992,5809,152827,1625,MN
28,0,0,7,0.0225345344,7690,341254,3381,MS
28,0,1,7,0.0268779226,31619,1176393,10863,MS
28,1,0,7,0.0110438247,2079,188250,1935,MS
28,1,1,7,0.0260674687,2431,93258,948,MS
29,0,0,7,0.0451595004,25067,555077,5688,MO
29,0,1,7,0.0349690019,93390,2670651,25542,MO
29,1,0,7,0.0257469504,7130,276926,2938,MO
29,1,1,7,0.0235373753,4277,181711,1873,MO
30,0,0,7,0.0438375472,4541,103587,1061,MT
30,0,1,7,0.0234640411,10443,445064,4189,MT
30,1,0,7,0.0555444456,2222,40004,356,MT
30,1,1,7,0.0301443708,973,32278,322,MT
31,0,0,7,0.1156123775,16458,142355,1425,NE
31,0,1,7,0.0900740119,80299,891478,8455,NE
31,1,0,7,0.0708343784,3389,47844,525,NE
31,1,1,7,0.0590150847,2809,47598,508,NE
32,0,0,7,0.2665436628,75410,282918,2705,NV
32,0,1,7,0.275940707,344366,1247971,11469,NV
32,1,0,7,0.1587672497,15831,99712,967,NV
32,1,1,7,0.2512359878,24138,96077,875,NV
33,0,0,7,0.0317381602,3712,116957,1199,NH
33,0,1,7,0.0310236557,19870,640479,6243,NH
33,1,0,7,0.0200727179,933,46481,441,NH
33,1,1,7,0.011693507,456,38996,389,NH
34,0,0,7,0.1971570455,182153,923898,9038,NJ
34,0,1,7,0.19266165,803774,4171946,40212,NJ
34,1,0,7,0.1895659332,45598,240539,2417,NJ
34,1,1,7,0.1700886114,33783,198620,2029,NJ
35,0,0,7,0.4525010784,117491,259648,2525,NM
35,0,1,7,0.4643845523,385272,829640,7293,NM
35,1,0,7,0.4439744723,41671,93859,874,NM
35,1,1,7,0.4443535427,30416,68450,595,NM
36,0,0,7,0.1982354129,456329,2301955,22458,NY
36,0,1,7,0.177771115,1614521,9082021,86430,NY
36,1,0,7,0.2144052895,142420,664256,7211,NY
36,1,1,7,0.1825280954,78513,430142,4574,NY
37,0,0,7,0.0946384758,96585,1020568,10342,NC
37,0,1,7,0.0873254841,381001,4362999,40757,NC
37,1,0,7,0.0267200227,11665,436564,4537,NC
37,1,1,7,0.0596173739,16195,271649,2742,NC
38,0,0,7,0.0337769175,2094,61995,676,ND
38,0,1,7,0.0216621462,7787,359475,3303,ND
38,1,0,7,0.047899986,682,14238,177,ND
38,1,1,7,0.042183155,895,21217,187,ND
39,0,0,7,0.033575291,37758,1124577,11509,OH
39,0,1,7,0.0313187733,160255,5116899,50274,OH
39,1,0,7,0.0219905194,10925,496805,5216,OH
39,1,1,7,0.032860986,11421,347555,3547,OH
40,0,0,7,0.1041169821,41169,395411,3933,OK
40,0,1,7,0.0942110276,151251,1605449,14235,OK
40,1,0,7,0.043609963,8019,183880,1924,OK
40,1,1,7,0.0582568772,7626,130903,1305,OK
41,0,0,7,0.0931901204,38470,412812,4201,OR
41,0,1,7,0.1242299395,213574,1719183,16356,OR
41,1,0,7,0.0716995299,12796,178467,1701,OR
41,1,1,7,0.1124771668,15086,134125,1185,OR
42,0,0,7,0.0713658971,91501,1282139,12983,PA
42,0,1,7,0.053219495,304717,5725665,55433,PA
42,1,0,7,0.0959761295,48345,503719,5011,PA
42,1,1,7,0.0727288914,25325,348211,3476,PA
44,0,0,7,0.1423107455,13804,96999,1019,RI
44,0,1,7,0.1290446296,65613,508452,4998,RI
44,1,0,7,0.13936268,5458,39164,377,RI
44,1,1,7,0.1299873165,3587,27595,306,RI
45,0,0,7,0.0524139246,26933,513852,5086,SC
45,0,1,7,0.0573022723,117459,2049814,19009,SC
45,1,0,7,0.0139808421,3138,224450,2387,SC
45,1,1,7,0.0416687646,5793,139025,1383,SC
46,0,0,7,0.0261462306,1611,61615,648,SD
46,0,1,7,0.0318920395,12381,388216,3711,SD
46,1,0,7,0.0073591953,199,27041,265,SD
46,1,1,7,0.0355888243,1084,30459,276,SD
47,0,0,7,0.054681361,36116,660481,6781,TN
47,0,1,7,0.0479069719,133411,2784793,26422,TN
47,1,0,7,0.0154538407,5502,356028,3684,TN
47,1,1,7,0.0341685762,6874,201179,2039,TN
48,0,0,7,0.4068040488,1181780,2905035,27564,TX
48,0,1,7,0.364837284,4248837,11645841,105835,TX
48,1,0,7,0.3215199193,285601,888284,9218,TX
48,1,1,7,0.338077654,247104,730909,7055,TX
49,0,0,7,0.1269366525,38876,306263,3094,UT
49,0,1,7,0.1321399146,165355,1251363,11733,UT
49,1,0,7,0.1055116267,8113,76892,772,UT
49,1,1,7,0.0949040878,6684,70429,723,UT
50,0,0,7,0.0088269718,543,61516,640,VT
50,0,1,7,0.0152763356,4443,290842,2929,VT
50,1,0,7,0.0196956487,497,25234,243,VT
50,1,1,7,0.0100010639,188,18798,177,VT
51,0,0,7,0.0818844061,69366,847121,8594,VA
51,0,1,7,0.0931195778,363297,3901403,37583,VA
51,1,0,7,0.0295261517,7888,267153,2769,VA
51,1,1,7,0.0534514281,10905,204017,2083,VA
53,0,0,7,0.1054235791,79033,749671,7419,WA
53,0,1,7,0.1131325643,358207,3166259,29750,WA
53,1,0,7,0.0729873624,19261,263895,2672,WA
53,1,1,7,0.0927533226,19674,212111,2114,WA
54,0,0,7,0.014030509,2946,209971,2070,WV
54,0,1,7,0.0139016792,9933,714518,6718,WV
54,1,0,7,0.0049721963,735,147822,1411,WV
54,1,1,7,0.0109708912,672,61253,589,WV
55,0,0,7,0.067514759,32273,478014,4958,WI
55,0,1,7,0.0560405861,151621,2705557,26393,WI
55,1,0,7,0.0652595867,12003,183927,1860,WI
55,1,1,7,0.0557918537,9969,178682,1699,WI
56,0,0,7,0.0890176098,4595,51619,533,WY
56,0,1,7,0.080503941,21745,270111,2527,WY
56,1,0,7,0.0871009515,1547,17761,165,WY
56,1,1,7,0.0727579579,1552,21331,229,WY
